brand,name,shifterPartNumber,shifterName,shifterBrand,shifterSpeeds,shifterCablePull,shifterType,shifterSide,derailleurPartNumber,derailleurName,derailleurBrand,derailleurDesignSpeeds,derailleurPullRatio,derailleurSupportsMultipleFrontChainrings,cassettePartNumber,cassetteName,cassetteBrand,cassetteSpeeds,cassettePitch,cassetteMinMaxToothAvailable,cassetteMaxToothAvailable,confidence,supported,confidence_too_low,max_chain_angle_too_high,barrel_adjuster_too_low,least_pull_too_low,not_enough_range_on_derailleur,smallest_cassette_too_big_official_max_tooth,smallest_cassette_too_big_unofficial_max_tooth,smallest_cassette_too_big_with_goat_link,smallest_cassette_too_big,maxChainAngle,motionMultiplier
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,3.994894983201373e-14,False,True,True,False,False,False,False,,,False,1.8662283497497016,1.1913703374596503
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M4120,Deore,Shimano,11,1.07,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,1.385818178760064e-09,False,True,True,False,False,False,True,,,True,1.5610359824677078,1.1596004617940596
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,3.448954704794268e-26,False,True,True,False,False,False,False,,,False,2.660321005482779,1.253891639481249
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,6.801007958047818e-20,False,True,True,False,False,False,False,,,False,2.1003808665894,1.2229313520866503
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,3.448954704794268e-26,False,True,True,False,False,False,False,,,False,2.630794756972081,1.253891639481249
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,1.756479469841651e-20,False,True,True,False,False,False,False,,,False,2.14777792192385,1.2260273808261102
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,3.448954704794268e-26,False,True,True,False,False,False,False,,,False,2.6429125112267484,1.253891639481249
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,1.3146093086918286e-08,False,True,True,False,False,False,False,,,False,1.2903428012596974,1.1517226910790732
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,9.131926127422943e-10,False,True,True,False,False,False,False,,,False,1.3956722495179756,1.1610107772974527
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 11-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M5120,Deore,Shimano,11,1.1,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,3.1912207551529352e-06,False,True,False,False,False,False,True,,,True,1.1404205409479287,1.130050489902854
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,1.2052138939341742e-34,False,True,True,False,False,False,False,,,False,2.483605956839896,1.2897880925783216
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,4.4248935554912716e-27,False,True,True,False,False,False,False,,,False,2.0260510902582824,1.2579414730084866
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,1.2052138939341742e-34,False,True,True,False,False,False,False,,,False,2.459574611932666,1.2897880925783216
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,8.580464380527742e-28,False,True,True,False,False,False,False,,,False,2.062333092476308,1.2611261349654699
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,1.2052138939341742e-34,False,True,True,False,False,False,False,,,False,2.4689912140627324,1.2897880925783216
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,4.319164450054832e-13,False,True,True,False,False,False,False,,,False,1.3655420345323324,1.1846942479978657
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,1.3933586895065443e-14,False,True,True,False,False,False,False,,,False,1.4517529394899247,1.1942482338688163
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano Deore 12-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-M6100,Deore,Shimano,12,1.07,False,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,6.026539432210475e-10,False,True,True,False,False,False,False,,,False,1.2338341439334464,1.162401614298981
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,0.00041416180869770117,False,True,False,False,False,False,False,,,False,0.8035730523815772,0.9570813502040539
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,3.3241627366188277e-06,False,True,False,False,False,False,False,,,False,1.0426983030445585,0.9334497119274108
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,0.00041416180869770117,False,True,False,False,False,False,True,,,True,0.8389684389780868,0.9570813502040539
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,5.683868569629499e-06,False,True,False,False,False,False,False,,,False,1.0812954219820154,0.935812875755075
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,0.00041416180869770117,False,True,False,False,False,False,False,,,False,0.5765105687136999,0.9570813502040539
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,5.086848970437544e-13,False,True,True,False,False,False,False,,,False,1.9993749105830685,0.8790969438911311
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,5.685260094448437e-12,False,True,True,False,False,False,False,,,False,1.8754605048875561,0.8861864353741241
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano GRX 10-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-RX400,GRX,Shimano,10,1.45,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,1.146981226487494e-15,False,True,True,False,False,False,True,,,True,2.198373674468155,0.8625547970974807
